 DATE ,MAXATTR, MAXFOWARD, MAXBACKWARD, GAP, MINSUPPORT, MAXNODES, EFGS, NODES, NUMATTR, ATTRBERN, EDGEBERN, NODES/EFG, P1, P2, P3, EDGE WEIGHT, P1, P2, P3, NODE WEIGHT, P1, P2, P3, ATTR WEIGHT, P1, P2, P3, TIME, NUMEDGES, TOTALSUBGRAPHS, HOTSUBGRAPHS, 0-EDGE, 1-EDGE, 2-EDGE, 3-EDGE, 4-EDGE, 5-EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 11:53:25,100,100,100,0,0.172642785,100,100,653,100,0.5,0.5,E,1,0,0,U,10,10,0,E,1,0,0,G,1,10,10,1380,5045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:13:08,100,100,100,0,0.277173648,100,100,815,100,0.5,0.5,U,10,10,0,U,10,10,0,U,10,10,0,E,1,0,0,181317,3433,95933,936,170,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:26:25,100,100,100,0,0.343494174,100,100,1000,100,0.5,0.5,U,10,10,0,G,1,10,10,E,1,0,0,U,10,10,0,1570,4972,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:13:47,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,648,5502,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:15:22,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,690,5734,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:15:28,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,428,5788,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:52:39,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,379,6672,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:10:37,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,348,5917,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:12:24,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,815,5499,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:17:44,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,699,6024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:17:49,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,774,6235,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:18:30,100,100,100,0,0.431496784,100,100,816,100,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,810,6500,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 05:26:34,5,10,10,0,0.5,5,1,10,10,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,44,38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2015 09:05:50,5,10,10,0,0.5,5,1,10,10,0.5,0.5,g,1,10,20,g,1,10,10,E,1,0,0,E,1,0,0,46,46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:26:20,100,100,100,0,0.537966996,100,100,1000,100,0.5,0.5,G,1,10,10,E,1,0,0,E,1,0,0,G,1,10,10,1430,6956,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 01:27:55,100,100,100,0,0.55421538,100,100,875,100,0.5,0.5,E,1,0,0,E,1,0,0,E,1,0,0,E,1,0,0,1433,9175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 11:28:47,9,5,6,5,0.556246842,26,1,32,43,0.164873174,0.258510757,E,2.27475612,0,0,U,52,84,0,E,6.608486935,0,0,E,8.79255125,0,0,182,421,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 11:28:47,9,5,6,5,0.556246842,26,1,32,43,0.164873174,0.258510757,E,2.27475612,0,0,U,52,84,0,E,6.608486934,0,0,E,8.79255125,0,0,182,421,0,0,,,,,,,32,0.556246842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 10:34:09,4,6,0,8,0.637284768,26,10,46,44,0.469627528,0.327924219,E,8.354706505,0,0,U,91,97,0,G,3.83416753,92,95,G,1.326085453,98,60,3243,156,28409,665,540,124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 10:34:09,4,6,0,8,0.637284768,26,10,46,44,0.469627528,0.327924219,E,8.354706505,0,0,U,91,97,0,G,3.83416753,92,95,G,1.326085453,98,60,3243,156,28409,665,540,124,1,,,,4.6,0.637284768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 11:32:22,176,62,5,3,0.664636276,57,87,5524,34,0.11769452,0.074674241,U,22,60,0,U,94,96,0,G,3.011925802,37,26,E,3.425577221,0,0,2736,173568,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 11:32:22,176,62,5,3,0.664636276,57,87,5524,34,0.11769452,0.074674241,U,22,60,0,U,94,96,0,G,3.011925802,37,26,E,3.425577221,0,0,2736,173568,0,0,,,,,,,63.49425287,0.664636276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 03:19:03,973,21,38,16,0.687819164,68,71,5365,72,0.265499086,0.276256927,G,2.056634386,70,38,G,1.539430629,36,96,G,0.62778691,60,84,U,64,100,0,11657,240240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2015 03:19:03,973,21,38,16,0.687819164,68,71,5365,72,0.265499086,0.276256926,G,2.056634386,70,38,G,1.539430629,36,96,G,0.62778691,60,84,U,64,100,0,11657,240240,0,0,,,,,,,75.56338028,0.687819164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2015 02:26:31,100,100,100,0,0.714068069,100,100,1000,100,0.5,0.5,G,1,10,10,G,1,10,10,U,10,10,0,U,10,10,0,1339,7246,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
